osid_scrambled,tid_scrambled,site,shelf,path,pathindex,lim,member_list,neighbor1_final,neighbor1-lim,neighbor1_osid,date,source
636-67923-96,041-7c224-89,109,10,1,1,LIM-10-24,LIM-10-24-8;ISS-10-22-3;LIM-10-24;WSSOPM-10-27;BMD-10-55;BMD-10-57;LIM-10-23;ISS-10-22,110-6f8-64e93-88-5-2,,636-67923-96,2019/09/04,109-041-7c224-89-10-1
636-67923-96,041-7c224-89,109,10,1,1,LIM-10-24,LIM-10-24-8;ISS-10-22-3;LIM-10-24;WSSOPM-10-27;BMD-10-55;BMD-10-57;LIM-10-23;ISS-10-22,109-041-7c224-89-3-5,LIM-3-24,54a-70fb1-69,2019/09/04,109-041-7c224-89-10-1
636-67923-96,041-7c224-89,109,10,1,1,LIM-10-24,LIM-10-24-8;ISS-10-22-3;LIM-10-24;WSSOPM-10-27;BMD-10-55;BMD-10-57;LIM-10-23;ISS-10-22,109-041-7c224-89-3-5,LIM-3-24,54a-70fb1-69,2019/09/04,109-041-7c224-89-10-1
636-67923-96,041-7c224-89,109,10,1,1,LIM-10-24,LIM-10-24-8;ISS-10-22-3;LIM-10-24;WSSOPM-10-27;BMD-10-55;BMD-10-57;LIM-10-23;ISS-10-22,109-041-7c224-89-3-5,LIM-3-24,54a-70fb1-69,2019/09/04,109-041-7c224-89-10-1
54a-70fb1-69,041-7c224-89,109,3,5,1,LIM-3-24,LIM-3-24-8;LIM-3-24-5;LIM-3-24;CMD44-3-51;CMD44-3-52;WSSOPM-3-26;BMD-3-57;LIM-3-25;SLIC-3-31,104-ae4-93288-61-3-8,,54a-70fb1-69,2019/09/04,109-041-7c224-89-3-5
54a-70fb1-69,041-7c224-89,109,3,5,1,LIM-3-24,LIM-3-24-8;LIM-3-24-5;LIM-3-24;CMD44-3-51;CMD44-3-52;WSSOPM-3-26;BMD-3-57;LIM-3-25;SLIC-3-31,109-041-7c224-89-10-1,LIM-10-24,636-67923-96,2019/09/04,109-041-7c224-89-3-5
54a-70fb1-69,041-7c224-89,109,3,5,1,LIM-3-24,LIM-3-24-8;LIM-3-24-5;LIM-3-24;CMD44-3-51;CMD44-3-52;WSSOPM-3-26;BMD-3-57;LIM-3-25;SLIC-3-31,109-041-7c224-89-10-1,LIM-10-24,636-67923-96,2019/09/04,109-041-7c224-89-3-5
54a-70fb1-69,041-7c224-89,109,3,5,1,LIM-3-24,LIM-3-24-8;LIM-3-24-5;LIM-3-24;CMD44-3-51;CMD44-3-52;WSSOPM-3-26;BMD-3-57;LIM-3-25;SLIC-3-31,109-041-7c224-89-10-1,LIM-10-24,636-67923-96,2019/09/04,109-041-7c224-89-3-5
90e-7e992-b1,041-7c224-89,109,9,11,1,LIM-9-24,LIM-9-24-8;LIM-9-24-5;LIM-9-24;CMD44-9-51;CMD44-9-52;WSSOPM-9-27;BMD-9-55;BMD-9-57;LIM-9-23,108-417-d12bb-0d-5-12,,no value present,2019/09/04,109-041-7c224-89-9-11
90e-7e992-b1,041-7c224-89,109,9,11,1,LIM-9-24,LIM-9-24-8;LIM-9-24-5;LIM-9-24;CMD44-9-51;CMD44-9-52;WSSOPM-9-27;BMD-9-55;BMD-9-57;LIM-9-23,109-041-7c224-89-10-1,LIM-10-24,636-67923-96,2019/09/04,109-041-7c224-89-9-11
90e-7e992-b1,041-7c224-89,109,9,11,1,LIM-9-24,LIM-9-24-8;LIM-9-24-5;LIM-9-24;CMD44-9-51;CMD44-9-52;WSSOPM-9-27;BMD-9-55;BMD-9-57;LIM-9-23,109-041-7c224-89-10-1,LIM-10-24,636-67923-96,2019/09/04,109-041-7c224-89-9-11
90e-7e992-b1,041-7c224-89,109,9,11,1,LIM-9-24,LIM-9-24-8;LIM-9-24-5;LIM-9-24;CMD44-9-51;CMD44-9-52;WSSOPM-9-27;BMD-9-55;BMD-9-57;LIM-9-23,109-041-7c224-89-10-1,LIM-10-24,636-67923-96,2019/09/04,109-041-7c224-89-9-11
db7-10189-bd,041-7c224-89,109,2,1,1,LIM-2-24,LIM-2-24-8;LIM-2-24-5;LIM-2-24;CMD44-2-51;CMD44-2-52;WSSOPM-2-26;BMD-2-57;LIM-2-25;SLIC-2-31,108-607-4a93b-3e-1-4,,db7-10189-bd,2019/09/04,109-041-7c224-89-2-1
db7-10189-bd,041-7c224-89,109,2,1,1,LIM-2-24,LIM-2-24-8;LIM-2-24-5;LIM-2-24;CMD44-2-51;CMD44-2-52;WSSOPM-2-26;BMD-2-57;LIM-2-25;SLIC-2-31,109-041-7c224-89-10-1,LIM-10-24,636-67923-96,2019/09/04,109-041-7c224-89-2-1
db7-10189-bd,041-7c224-89,109,2,1,1,LIM-2-24,LIM-2-24-8;LIM-2-24-5;LIM-2-24;CMD44-2-51;CMD44-2-52;WSSOPM-2-26;BMD-2-57;LIM-2-25;SLIC-2-31,109-041-7c224-89-10-1,LIM-10-24,636-67923-96,2019/09/04,109-041-7c224-89-2-1
db7-10189-bd,041-7c224-89,109,2,1,1,LIM-2-24,LIM-2-24-8;LIM-2-24-5;LIM-2-24;CMD44-2-51;CMD44-2-52;WSSOPM-2-26;BMD-2-57;LIM-2-25;SLIC-2-31,109-041-7c224-89-10-1,LIM-10-24,636-67923-96,2019/09/04,109-041-7c224-89-2-1
886-8b883-12,042-ef8c7-8b,33,41,3,2,,,3-afa-c25e6-a6-41-5,,no value present,2019/09/04,33-042-ef8c7-8b-41-3
886-8b883-12,042-ef8c7-8b,33,41,3,2,,,33-042-ef8c7-8b-41-2,,886-8b883-12,2019/09/04,33-042-ef8c7-8b-41-3
886-8b883-12,042-ef8c7-8b,33,41,3,2,,,33-042-ef8c7-8b-41-2,,886-8b883-12,2019/09/04,33-042-ef8c7-8b-41-3
886-8b883-12,042-ef8c7-8b,33,41,3,2,,,33-042-ef8c7-8b-41-2,,886-8b883-12,2019/09/04,33-042-ef8c7-8b-41-3
886-8b883-12,042-ef8c7-8b,33,41,2,3,,,3-afa-c25e6-a6-41-5,,no value present,2019/09/04,33-042-ef8c7-8b-41-2
